gateway-1  | WARNING:passlib.handlers.bcrypt:(trapped) error reading bcrypt version
gateway-1  | INFO:     172.18.0.1:59686 - "GET /api/market-demand HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59698 - "GET /api/market-demand?limit=5 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59706 - "GET /api/job-alerts HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59720 - "GET /api/job-alerts HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59736 - "POST /api/job-alerts HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59752 - "POST /api/job-alerts HTTP/1.1" 400 Bad Request
gateway-1  | INFO:     172.18.0.1:59766 - "PUT /api/job-alerts/3 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59772 - "DELETE /api/job-alerts/3 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59780 - "DELETE /api/job-alerts/999999999 HTTP/1.1" 404 Not Found
gateway-1  | INFO:     172.18.0.1:59792 - "POST /api/recommendations HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59798 - "POST /api/recommendations HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     127.0.0.1:32936 - "GET /health HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59800 - "POST /api/recommendations HTTP/1.1" 200 OK
gateway-1  | INFO:     127.0.0.1:35684 - "GET /health HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/feedback "HTTP/1.1 422 Unprocessable Entity"
gateway-1  | INFO:scpa.gateway:feedback_outbox_retry summary={'attempted': 1, 'sent': 0, 'failed': 1}
gateway-1  | INFO:     172.18.0.1:46092 - "POST /recommendations HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:35770 - "POST /api/recommendations/feedback HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:35776 - "POST /api/recommendations/feedback HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:35788 - "POST /api/recommendations/feedback HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:35802 - "POST /api/learning-path HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:httpx:HTTP Request: POST http://dqn:8004/learning-path "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:35804 - "POST /api/learning-path HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:35810 - "GET /api/admin/model-health HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:35814 - "GET /api/admin/model-health HTTP/1.1" 403 Forbidden
gateway-1  | INFO:     172.18.0.1:35824 - "POST /pipeline/run HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:35838 - "POST /pipeline/run HTTP/1.1" 403 Forbidden
gateway-1  | INFO:     172.18.0.1:35854 - "GET /api/experiments HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:35858 - "GET /api/experiments?limit=5 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:35874 - "POST /api/experiments HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:35878 - "POST /api/experiments HTTP/1.1" 403 Forbidden
gateway-1  | INFO:     172.18.0.1:35890 - "POST /api/experiments HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:35896 - "POST /api/auth/login HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: GET http://pipeline:8005/health "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:35902 - "GET /api/admin/model-health HTTP/1.1" 200 OK
gateway-1  | INFO:     127.0.0.1:40896 - "GET /health HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/run "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:35910 - "POST /pipeline/run HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:33322 - "POST /api/experiments HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:33336 - "GET /api/experiments/2c062ed1-15d6-494e-a89b-aecba32a28f6 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:33348 - "POST /api/experiments/2c062ed1-15d6-494e-a89b-aecba32a28f6/start HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:33360 - "POST /api/experiments/2c062ed1-15d6-494e-a89b-aecba32a28f6/assign HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:33370 - "GET /api/experiments/2c062ed1-15d6-494e-a89b-aecba32a28f6/metrics HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:33378 - "POST /api/events/track HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:33386 - "POST /api/events/track HTTP/1.1" 400 Bad Request
gateway-1  | INFO:     172.18.0.1:33400 - "POST /api/experiments/2c062ed1-15d6-494e-a89b-aecba32a28f6/pause HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:33414 - "POST /api/experiments/2c062ed1-15d6-494e-a89b-aecba32a28f6/complete HTTP/1.1" 200 OK
