gateway-1  | INFO:     172.18.0.1:59928 - "PUT /api/job-alerts/4 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59944 - "DELETE /api/job-alerts/4 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59952 - "DELETE /api/job-alerts/999999999 HTTP/1.1" 404 Not Found
gateway-1  | INFO:     172.18.0.1:59968 - "POST /api/recommendations HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59980 - "POST /api/recommendations HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     127.0.0.1:50200 - "GET /health HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/run "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59986 - "POST /api/recommendations HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/run "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59998 - "POST /recommendations HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42638 - "POST /api/recommendations/feedback HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:42652 - "POST /api/recommendations/feedback HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/feedback "HTTP/1.1 422 Unprocessable Entity"
gateway-1  | INFO:     172.18.0.1:42656 - "POST /api/recommendations/feedback HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42666 - "POST /api/recommendations/feedback HTTP/1.1" 404 Not Found
gateway-1  | INFO:     172.18.0.1:42674 - "POST /api/recommendations/feedback HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:42686 - "POST /api/learning-path HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:httpx:HTTP Request: POST http://dqn:8004/learning-path "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:42694 - "POST /api/learning-path HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42708 - "GET /api/admin/model-health HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:42716 - "GET /api/admin/model-health HTTP/1.1" 403 Forbidden
gateway-1  | INFO:     172.18.0.1:42730 - "POST /pipeline/run HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:42742 - "POST /pipeline/run HTTP/1.1" 403 Forbidden
gateway-1  | INFO:     172.18.0.1:42754 - "GET /api/experiments HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:42768 - "GET /api/experiments?limit=5 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42784 - "POST /api/experiments HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:42788 - "POST /api/experiments HTTP/1.1" 403 Forbidden
gateway-1  | INFO:     172.18.0.1:42800 - "POST /api/experiments HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:42808 - "POST /api/auth/login HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: GET http://pipeline:8005/health "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:42814 - "GET /api/admin/model-health HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/run "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:42816 - "POST /pipeline/run HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42830 - "POST /api/experiments HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42846 - "GET /api/experiments/af9a7c18-a2b4-427d-9148-c966a1f44998 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42860 - "POST /api/experiments/af9a7c18-a2b4-427d-9148-c966a1f44998/start HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42874 - "POST /api/experiments/af9a7c18-a2b4-427d-9148-c966a1f44998/assign HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42890 - "GET /api/experiments/af9a7c18-a2b4-427d-9148-c966a1f44998/metrics HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42904 - "POST /api/events/track HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42920 - "POST /api/events/track HTTP/1.1" 400 Bad Request
gateway-1  | INFO:     172.18.0.1:42928 - "POST /api/experiments/af9a7c18-a2b4-427d-9148-c966a1f44998/pause HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:42944 - "POST /api/experiments/af9a7c18-a2b4-427d-9148-c966a1f44998/complete HTTP/1.1" 200 OK
