gateway-1  | INFO:     172.18.0.1:59790 - "POST /api/auth/register HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59798 - "POST /api/auth/register HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59812 - "POST /api/auth/login HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59820 - "POST /api/auth/register HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59836 - "POST /api/auth/register HTTP/1.1" 409 Conflict
gateway-1  | INFO:     172.18.0.1:59852 - "POST /api/auth/login HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59868 - "GET / HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59872 - "GET /health HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: GET http://pipeline:8005/health "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59874 - "GET /ready HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59890 - "GET /api/company-logo?url=http%3A%2F%2F127.0.0.1%2Flogo.png&company=Probe HTTP/1.1" 400 Bad Request
gateway-1  | INFO:     172.18.0.1:59892 - "GET /api/skills/search?q=python&limit=5 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59896 - "GET /api/skills/search?q=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59906 - "GET /api/auth/me HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59918 - "GET /api/auth/me HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59926 - "GET /api/auth/me HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59930 - "GET /api/profile/completeness HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:59934 - "GET /api/profile/completeness HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/invalidate-user/19aa62d7-429b-4a7e-9b77-903fc4300f79 "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59938 - "PUT /api/profile HTTP/1.1" 200 OK
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/invalidate-user/19aa62d7-429b-4a7e-9b77-903fc4300f79 "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59946 - "PUT /api/profile HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59954 - "PUT /api/profile HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/invalidate-user/19aa62d7-429b-4a7e-9b77-903fc4300f79 "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59966 - "PUT /api/profile/onboarding HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59976 - "PUT /api/profile/onboarding HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:httpx:HTTP Request: POST http://pipeline:8005/pipeline/invalidate-user/19aa62d7-429b-4a7e-9b77-903fc4300f79 "HTTP/1.1 200 OK"
gateway-1  | INFO:     172.18.0.1:59988 - "POST /api/profile/cv HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:59994 - "POST /api/profile/cv HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:59996 - "POST /api/profile/certificates HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:60010 - "GET /api/jobs?limit=3 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:60014 - "GET /api/jobs?page=0 HTTP/1.1" 422 Unprocessable Entity
gateway-1  | INFO:     172.18.0.1:60026 - "GET /api/jobs/09442211-b541-5235-a102-ca4b619faa81 HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:60042 - "POST /api/jobs/09442211-b541-5235-a102-ca4b619faa81/save HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:60046 - "POST /api/jobs/09442211-b541-5235-a102-ca4b619faa81/save HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:60058 - "DELETE /api/jobs/09442211-b541-5235-a102-ca4b619faa81/save HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:60074 - "POST /api/jobs/09442211-b541-5235-a102-ca4b619faa81/skip HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:60076 - "GET /api/jobs/09442211-b541-5235-a102-ca4b619faa81/skill-gap HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:60090 - "GET /api/jobs/2cb9159c-1a23-4f1c-b677-0bd72598f6df HTTP/1.1" 404 Not Found
gateway-1  | INFO:     172.18.0.1:60102 - "GET /api/jobs/saved HTTP/1.1" 401 Unauthorized
gateway-1  | INFO:     172.18.0.1:60104 - "GET /api/jobs/saved HTTP/1.1" 200 OK
gateway-1  | INFO:     172.18.0.1:60112 - "GET /api/applications HTTP/1.1" 401 Unauthorized
